trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1816,False,"{'a': 0.002, 'e': 0.02651618440889418}",25,7,34.26117549508669,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1817,False,"{'a': 0.002, 'e': 0.026463205037107963}",25,13,21.71162137526875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1818,False,"{'a': 0.002, 'e': 0.026410331518177187}",30,13,33.910989110102356,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1819,False,"{'a': 0.002, 'e': 0.02635756364060769}",30,20,16.381185828496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1820,False,"{'a': 0.002, 'e': 0.026304901193327908}",25,5,22.415721043021005,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1821,False,"{'a': 0.002, 'e': 0.02625234396568796}",25,20,8.603428401438634,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1822,False,"{'a': 0.002, 'e': 0.02619989174745889}",20,12,14.956034256546477,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1823,False,"{'a': 0.002, 'e': 0.026147544328831734}",20,8,19.273562976980717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1824,False,"{'a': 0.002, 'e': 0.026095301500416765}",25,8,-11.351018115747237,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1825,False,"{'a': 0.002, 'e': 0.02604316305324258}",20,11,16.55314934650253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1826,False,"{'a': 0.002, 'e': 0.025991128778755347}",20,6,10.751532331910107,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1827,False,"{'a': 0.002, 'e': 0.02593919846881787}",30,7,31.724484838029873,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
1828,False,"{'a': 0.002, 'e': 0.025887371915708866}",25,7,31.443604841909977,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1829,False,"{'a': 0.002, 'e': 0.025835648912122026}",25,11,21.9537317620686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
